,kms_driven,owner,age,power,brand
0,17654.0,First Owner,3.0,110.0,TVS
1,11000.0,First Owner,4.0,350.0,Royal Enfield
2,110.0,First Owner,8.0,675.0,Triumph
3,16329.0,First Owner,4.0,180.0,TVS
4,10000.0,First Owner,3.0,150.0,Yamaha
5,25000.0,First Owner,6.0,150.0,Yamaha
6,8200.0,First Owner,3.0,160.0,Honda
7,12645.0,First Owner,3.0,100.0,Hero
8,9190.0,First Owner,3.0,350.0,Royal Enfield
9,19000.0,Second Owner,7.0,500.0,Royal Enfield
10,20000.0,First Owner,7.0,150.0,Yamaha
11,9665.0,First Owner,4.0,250.0,Yamaha
12,9900.0,First Owner,4.0,200.0,Bajaj
13,20000.0,First Owner,8.0,100.0,Bajaj
14,20000.0,First Owner,7.0,125.0,Bajaj
15,11574.0,First Owner,3.0,200.0,Bajaj
16,23000.0,First Owner,3.0,200.0,Bajaj
17,24725.0,First Owner,5.0,150.0,Suzuki
18,15025.0,Second Owner,3.0,302.0,Benelli
22,3500.0,First Owner,2.0,110.0,Hero
23,24520.0,First Owner,5.0,500.0,Royal Enfield
24,23000.0,First Owner,6.0,150.0,Yamaha
26,29305.0,First Owner,16.0,125.0,Hero
27,30500.0,Second Owner,7.0,125.0,Honda
28,19000.0,First Owner,8.0,150.0,Bajaj
29,9100.0,First Owner,2.0,160.0,Honda
30,21914.0,First Owner,3.0,200.0,Bajaj
31,20000.0,Second Owner,4.0,150.0,Yamaha
32,15000.0,First Owner,6.0,220.0,Bajaj
33,17700.0,First Owner,4.0,390.0,KTM
34,30000.0,First Owner,8.0,150.0,Honda
35,100000.0,Second Owner,8.0,200.0,KTM
36,39000.0,First Owner,5.0,350.0,Royal Enfield
37,43000.0,First Owner,6.0,150.0,Honda
38,4550.0,First Owner,2.0,500.0,Royal Enfield
39,3400.0,First Owner,2.0,200.0,KTM
40,45000.0,First Owner,8.0,350.0,Royal Enfield
41,36100.0,First Owner,6.0,220.0,Bajaj
42,8500.0,First Owner,13.0,350.0,Royal Enfield
43,2550.0,First Owner,2.0,220.0,Bajaj
44,18000.0,First Owner,6.0,350.0,Royal Enfield
45,35000.0,First Owner,9.0,200.0,Bajaj
46,38000.0,First Owner,10.0,350.0,Royal Enfield
47,45000.0,First Owner,2.0,110.0,Mahindra
48,10800.0,First Owner,8.0,150.0,Hero
49,4400.0,First Owner,3.0,150.0,Suzuki
50,357000.0,First Owner,8.0,150.0,Yamaha
51,15300.0,First Owner,7.0,350.0,Royal Enfield
52,30000.0,First Owner,5.0,160.0,TVS
53,30000.0,Second Owner,7.0,125.0,Honda
54,64000.0,First Owner,7.0,220.0,Bajaj
55,11500.0,Second Owner,3.0,600.0,Benelli
56,17056.0,First Owner,5.0,110.0,Honda
57,172082.0,First Owner,9.0,150.0,Yamaha
58,45000.0,First Owner,7.0,150.0,Suzuki
59,35000.0,First Owner,5.0,220.0,Bajaj
60,38000.0,First Owner,9.0,150.0,Bajaj
61,2500.0,First Owner,2.0,900.0,Kawasaki
62,15438.0,Second Owner,3.0,350.0,Royal Enfield
63,6000.0,First Owner,3.0,220.0,Bajaj
64,19000.0,First Owner,5.0,350.0,Royal Enfield
65,32700.0,First Owner,4.0,200.0,KTM
66,46643.0,First Owner,14.0,100.0,Hero
67,19000.0,First Owner,6.0,350.0,Royal Enfield
68,40700.0,First Owner,12.0,220.0,Bajaj
69,11350.0,First Owner,7.0,650.0,Kawasaki
70,1600.0,First Owner,6.0,350.0,Royal Enfield
71,44410.0,First Owner,10.0,125.0,Bajaj
72,9800.0,First Owner,11.0,350.0,Royal Enfield
73,15000.0,First Owner,3.0,350.0,Royal Enfield
74,68000.0,Second Owner,7.0,223.0,Hero
75,17757.0,First Owner,8.0,180.0,Bajaj
76,3900.0,First Owner,2.0,250.0,Yamaha
77,23700.0,First Owner,4.0,350.0,Royal Enfield
78,8250.0,First Owner,3.0,100.0,Bajaj
79,10000.0,First Owner,5.0,200.0,Bajaj
80,4300.0,Second Owner,3.0,150.0,Yamaha
81,3800.0,First Owner,2.0,650.0,Royal Enfield
82,33000.0,First Owner,7.0,125.0,Honda
83,17500.0,Second Owner,4.0,250.0,KTM
84,19000.0,First Owner,4.0,410.0,Royal Enfield
